pge_id;nom;lat_deco;lon_deco;alt_deco_m;orientations;parapente;delta;thermique;soaring;treuil;cross;plaine;atterro_nom;lat_atterro;lon_atterro;alt_atterro_m;lien_pge;ffvl_id
14951;Assay les jumaux;46.7973;-0.07585;131;;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=14951;0
2676;Athie;47.5733;4.2724;376;SW,W,NW;1;0;1;1;0;0;0;;47.5721;4.26823;275;http://www.paraglidingearth.com/?site=2676;0
23130;Atterrissage Balsac;44.4082;2.42924;399;;1;;;;;;;;;;;http://www.paraglidingearth.com/?site=23130;0
23134;Atterrissage de Recoules;44.3467;2.98991;678;;1;;;;;;;;;;;http://www.paraglidingearth.com/?site=23134;0
23128;Atterrissage Grand Mas;44.5098;2.50717;339;;1;;;;;;;;;;;http://www.paraglidingearth.com/?site=23128;0
22188;Atterro : Coupiac;43.8955;3.69984;166;;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=22188;0
22876;Atterro des Prats;43.8499;3.64957;171;;1;;;;;;;;;;;http://www.paraglidingearth.com/?site=22876;0
23132;attérissage de Clairvaux-d'Aveyron;44.4293;2.41103;336;;1;;;;;;;;;;;http://www.paraglidingearth.com/?site=23132;0
19844;Au 4 vents;46.4495;4.7146;493;SW,W;1;0;1;1;0;0;0;;46.4523;4.715;463;http://www.paraglidingearth.com/?site=19844;0
2686;Aubas;45.0886;1.2151;203;N,NE,NW;1;0;0;0;0;0;0;;45.0935;1.2195;80;http://www.paraglidingearth.com/?site=2686;0
9835;Aucun;42.9902;-0.19637;1384;N,NE,E,SE,W,NW;1;1;1;0;0;1;0;;42.9729;-0.1866;845;http://www.paraglidingearth.com/?site=9835;0
2629;Aunay-sur-Odon;49.0019;-0.65506;266;N,NW;1;0;1;1;0;0;0;;49.0053;-0.65769;174;http://www.paraglidingearth.com/?site=2629;0
22470;Aureille;44.5628;5.64587;1448;;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=22470;0
2720;Aurel;44.7036;5.31806;947;NW;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2720;0
2555;Auron;44.2367;6.90361;2240;S;1;0;1;0;0;1;0;;44.2331;6.93611;1462;http://www.paraglidingearth.com/?site=2555;0
2996;Aussois;45.2458;6.73556;2102;SE,S;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2996;0
2876;Auteuil;49.3303;2.0913;205;N;1;0;1;1;0;0;0;;49.3323;2.0908;158;http://www.paraglidingearth.com/?site=2876;0
2979;Autun;46.9339;4.28722;581;N,NE;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2979;0
10660;Avoriaz;46.1946;6.768;1819;N,NE,S,SW,W,NW;1;1;1;1;1;1;0;;46.1893;6.754;1182;http://www.paraglidingearth.com/?site=10660;0
2835;Ayet;44.3399;0.3333;151;SW,NW;1;0;0;0;0;0;0;;44.3429;0.3295;55;http://www.paraglidingearth.com/?site=2835;0
12242;aérodrome montardoise;48.4715;4.20422;172;;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=12242;0
2918;Baigura;43.2931;-1.2915;830;N,NE,E,W,NW;1;0;0;0;0;0;0;;43.3096;-1.2846;310;http://www.paraglidingearth.com/?site=2918;0
22134;Balistra;41.4354;9.22182;29;N,NE,E,SE;1;0;0;1;0;0;0;;;;;http://www.paraglidingearth.com/?site=22134;0
3083;Ballon d Alsace;47.8249;6.84002;1230;N,NE,E,NW;1;1;1;1;0;0;0;;47.843;6.8592;614;http://www.paraglidingearth.com/?site=3083;0
2503;Balvay;46.1831;5.46583;594;S;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2503;0
17738;Balveurche;48.0568;6.99787;1133;SW,W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=17738;0
3009;Bande;45.473;5.7774;953;S;1;0;0;0;0;0;0;;45.4485;5.7817;417;http://www.paraglidingearth.com/?site=3009;0
7226;Banon;44.05;5.635;1047;NE,E,SE,S,SW;1;0;0;0;0;0;1;;44.0428;5.64284;729;http://www.paraglidingearth.com/?site=7226;0
9885;Bar-sur-Aube;48.2184;4.69953;314;E;1;1;1;1;0;0;0;;48.2207;4.70531;168;http://www.paraglidingearth.com/?site=9885;0
2644;Barbeziere;45.8997;0.01667;68;N,S;1;1;0;0;1;0;0;;;;;http://www.paraglidingearth.com/?site=2644;0
2930;Bareges-tourmalet;42.9104;0.14314;2188;W;1;0;0;0;0;0;0;;42.9042;0.10194;1455;http://www.paraglidingearth.com/?site=2930;0
